,original_count,original_mean,original_std,original_min,original_25%,original_50%,original_75%,original_max,anonymized_count,anonymized_mean,anonymized_std,anonymized_min,anonymized_25%,anonymized_50%,anonymized_75%,anonymized_max,original_missing,anonymized_missing,original_missing_perc,anonymized_missing_perc,MAE,RMSE
age,328108.0,32.52609811403562,7.730576172086706,13.0,27.0,31.0,37.0,125.0,328108.0,32.51265741767954,7.307419969100583,20.0,27.0,31.0,37.0,51.0,0.0,0,0.0,0.0,1.5298499274629085,1.9990641135050091
height,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,328108.0,98.10736834037041,24.25565473170329,65.0,73.0,120.83500279464684,120.83500279464684,120.83500279464684,168875.0,0,51.46933326831409,0.0,77.20896648481835,21021.701364027827
weight,229121.0,170.91939193701145,58.43977601584808,1.0,145.0,170.0,192.0,20175.0,328108.0,170.87559931536592,24.836452075489916,80.0,170.91939193701143,170.91939193701143,174.0,325.0,98987.0,0,30.16902970972972,0.0,11.363601626905451,49.05100930604759
candj,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,328108.0,271.22684416476807,0.5653521872721374,254.0,271.2453978893189,271.2453978893189,271.2453978893189,271.2453978893189,223971.0,0,68.26136516025211,0.0,172.1419677719838,26005.826799678216
snatch,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,328108.0,242.7526327207935,1.5343322849282521,196.0,242.80298642813716,242.80298642813716,242.80298642813716,242.80298642813716,231069.0,0,70.42467724042083,0.0,199.20252329001485,27122.89816193197
deadlift,114977.0,698.2997382085113,55315.3918608884,-500.0,255.0,345.0,415.0,8388607.0,328108.0,674.5162318954294,76.6747426493855,300.0,698.2997382085113,698.2997382085113,698.2997382085113,698.2997382085113,213131.0,0,64.95757494483524,0.0,694.8904782000842,55315.63881340552
backsq,110188.0,586.2660271535921,50605.136119570176,-7.0,205.0,275.0,335.0,8388607.0,328108.0,575.1903044070054,46.713975119950376,260.0,586.2660271535921,586.2660271535921,586.2660271535921,586.2660271535921,217920.0,0,66.41715532690455,0.0,614.9794019591724,50605.34998696575
cluster_labels,,,,,,,,,,,,,,,,,,0,,0.0,,
gender,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,
region,,,,,,,,,,,,,,,,,79848.0,91686,24.335889402269984,27.943847757445717,,
